id;title;provincie;dna;PVV,
id;title;provincie;dna;2012-0,
000003;Appingedam;Groningen;537516;9.2,
000005;Bedum;Groningen;435354;4.9,
000007;Bellingwedde;Groningen;229422;11.3,
000009;Ten Boer;Groningen;334363;5.3,
000010;Delfzijl;Groningen;437715;10.1,
000014;Groningen;Groningen;931819;4.6,
000015;Grootegast;Groningen;223353;8.3,
000017;Haren;Groningen;598465;3.3,
000018;Hoogezand-Sappemeer;Groningen;626714;10.8,
000022;Leek;Groningen;445444;6.7,
000025;Marum;Groningen;334353;8.7,
000034;Almere;Flevoland;751918;13.8,
000037;Stadskanaal;Groningen;417415;9.5,
000040;Slochteren;Groningen;245352;7.6,
000047;Veendam;Groningen;536514;9.6,
000048;Vlagtwedde;Groningen;328452;12.3,
000024;Loppersum;Groningen;225341;6.2,
000050;Zeewolde;Flevoland;561554;9.4,
000051;Skarsterlân;Friesland;434354;7.2,
000053;Winsum;Groningen;344353;4.8,
000055;Boarnsterhim;Friesland;344344;5.3,
000056;Zuidhorn;Groningen;343363;4.7,
000058;Dongeradeel;Friesland;314324;7.3,
000059;Achtkarspelen;Friesland;314313;9.4,
000060;Ameland;Friesland;336393;6.1,
000063;het Bildt;Friesland;314432;7.6,
000070;Franekeradeel;Friesland;425432;7.3,
000072;Harlingen;Friesland;526514;9.1,
000074;Heerenveen;Friesland;646525;6.9,
000079;Kollumerland en Nieuwkruisland;Friesland;314322;9.3,
000080;Leeuwarden;Friesland;934719;7.4,
000081;Leeuwarderadeel;Friesland;435444;6.2,
000082;Lemsterland;Friesland;444444;9.1,
000085;Ooststellingwerf;Friesland;326333;8.4,
000086;Opsterland;Friesland;334343;6,
000088;Schiermonnikoog;Friesland;358472;2.6,
000090;Smallingerland;Friesland;635516;7.5,
000093;Terschelling;Friesland;266381;6.2,
000096;Vlieland;Friesland;256471;4.7,
000098;Weststellingwerf;Friesland;426432;9.5,
000106;Assen;Drenthe;744517;6.4,
000109;Coevorden;Drenthe;336424;8.7,
000114;Emmen;Drenthe;425415;11.3,
000118;Hoogeveen;Drenthe;525426;10.4,
000119;Meppel;Drenthe;644536;7.9,
000140;Littenseradiel;Friesland;243362;4.4,
000141;Almelo;Overijssel;724917;12.6,
000147;Borne;Overijssel;655456;8,
000148;Dalfsen;Overijssel;344373;5.7,
000150;Deventer;Overijssel;844827;7.6,
000153;Enschede;Overijssel;924918;10.4,
000158;Haaksbergen;Overijssel;545555;9,
000160;Hardenberg;Overijssel;323354;7.8,
000163;Hellendoorn;Overijssel;435364;7.6,
000164;Hengelo;Overijssel;844828;8.6,
000166;Kampen;Overijssel;622555;7.3,
000168;Losser;Overijssel;436545;11.3,
000171;Noordoostpolder;Flevoland;433554;9.2,
000173;Oldenzaal;Overijssel;645637;8.7,
000175;Ommen;Overijssel;345363;5.7,
000177;Raalte;Overijssel;445363;6,
000180;Staphorst;Overijssel;321373;6.2,
000183;Tubbergen;Overijssel;333373;8.9,
000184;Urk;Flevoland;511376;8.8,
000189;Wierden;Overijssel;444364;7.8,
000193;Zwolle;Overijssel;852628;6,
000196;Rijnwaarden;Gelderland;335444;15.6,
000197;Aalten;Gelderland;425463;7.4,
000200;Apeldoorn;Gelderland;855638;8.2,
000202;Arnhem;Gelderland;943918;8.9,
000203;Barneveld;Gelderland;541464;7.6,
000209;Beuningen;Gelderland;564555;10.4,
000213;Brummen;Gelderland;447554;9.1,
000214;Buren;Gelderland;364373;12.4,
000216;Culemborg;Gelderland;763835;10.7,
000221;Doesburg;Gelderland;546715;9.7,
000222;Doetinchem;Gelderland;545546;9,
000225;Druten;Gelderland;453564;10.4,
000226;Duiven;Gelderland;654555;9.6,
000228;Ede;Gelderland;753647;7.5,
000230;Elburg;Gelderland;443364;7,
000232;Epe;Gelderland;447554;9.1,
000233;Ermelo;Gelderland;566456;6.8,
000236;Geldermalsen;Gelderland;463464;10.8,
000241;Groesbeek;Gelderland;457444;12,
000243;Harderwijk;Gelderland;653747;8.3,
000244;Hattem;Gelderland;455465;5.6,
000246;Heerde;Gelderland;446364;7.7,
000252;Heumen;Gelderland;476464;6.5,
000262;Lochem;Gelderland;468464;4.6,
000263;Maasdriel;Gelderland;354473;14.9,
000265;Millingen aan de Rijn;Gelderland;435544;10.1,
000267;Nijkerk;Gelderland;563565;9.2,
000268;Nijmegen;Gelderland;943919;7.1,
000269;Oldebroek;Gelderland;433374;8.7,
000273;Putten;Gelderland;553465;8,
000274;Renkum;Gelderland;588545;6.2,
000275;Rheden;Gelderland;658536;8.8,
000277;Rozendaal;Gelderland;598586;4.2,
000279;Scherpenzeel;Gelderland;552375;7.4,
000281;Tiel;Gelderland;643917;13.3,
000282;Ubbergen;Gelderland;367454;6.3,
000285;Voorst;Gelderland;456364;6.3,
000289;Wageningen;Gelderland;743847;4.6,
000293;Westervoort;Gelderland;644626;11.5,
000294;Winterswijk;Gelderland;626546;7.6,
000296;Wijchen;Gelderland;654445;10.9,
000297;Zaltbommel;Gelderland;452564;8.5,
000299;Zevenaar;Gelderland;646546;11.3,
000301;Zutphen;Gelderland;744627;7.1,
000302;Nunspeet;Gelderland;444365;7.3,
000303;Dronten;Flevoland;442643;9.7,
000304;Neerijnen;Gelderland;252373;12.4,
000307;Amersfoort;Utrecht;972949;7.3,
000308;Baarn;Utrecht;796657;7.7,
000310;De Bilt;Utrecht;696666;6.4,
000312;Bunnik;Utrecht;495575;5.8,
000313;Bunschoten;Utrecht;541476;7.9,
000317;Eemnes;Utrecht;584576;8.6,
000321;Houten;Utrecht;791576;7.8,
000327;Leusden;Utrecht;685576;5.8,
000331;Lopik;Utrecht;352473;12,
000335;Montfoort;Utrecht;473475;8.6,
000339;Renswoude;Utrecht;351374;7.1,
000340;Rhenen;Utrecht;554555;9.9,
000342;Soest;Utrecht;685757;8.4,
000344;Utrecht;Utrecht;961919;6.3,
000345;Veenendaal;Utrecht;942737;9.2,
000351;Woudenberg;Utrecht;563475;6.7,
000352;Wijk bij Duurstede;Utrecht;574465;10.6,
000353;IJsselstein;Utrecht;882857;10.5,
000355;Zeist;Utrecht;784847;7.5,
000356;Nieuwegein;Utrecht;865947;13,
000358;Aalsmeer;Noord-Holland;583685;9.1,
000361;Alkmaar;Noord-Holland;955839;8.8,
000362;Amstelveen;Noord-Holland;995968;7,
000363;Amsterdam;Noord-Holland;963919;6.3,
000365;Graft-De Rijp;Noord-Holland;375473;7.6,
000370;Beemster;Noord-Holland;485474;7.5,
000373;Bergen (NH.);Noord-Holland;489465;7.9,
000375;Beverwijk;Noord-Holland;954838;13.3,
000376;Blaricum;Noord-Holland;598666;5.9,
000377;Bloemendaal;Noord-Holland;597578;4,
000381;Bussum;Noord-Holland;995759;6.2,
000383;Castricum;Noord-Holland;686465;6.4,
000384;Diemen;Noord-Holland;963947;9.9,
000385;Edam-Volendam;Noord-Holland;763476;16.8,
000388;Enkhuizen;Noord-Holland;645545;10.3,
000392;Haarlem;Noord-Holland;974949;8,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;10.1,
000394;Haarlemmermeer;Noord-Holland;782866;10.6,
000395;Harenkarspel;Noord-Holland;353473;8,
000396;Heemskerk;Noord-Holland;965737;10.6,
000397;Heemstede;Noord-Holland;797568;4.6,
000398;Heerhugowaard;Noord-Holland;753756;9.8,
000399;Heiloo;Noord-Holland;697566;5.6,
000400;Den Helder;Noord-Holland;846716;14.3,
000402;Hilversum;Noord-Holland;985849;8.7,
000405;Hoorn;Noord-Holland;753847;9.7,
000406;Huizen;Noord-Holland;885757;7.9,
000415;Landsmeer;Noord-Holland;596566;9.8,
000416;Langedijk;Noord-Holland;564465;8.8,
000417;Laren;Noord-Holland;599577;5.1,
000420;Medemblik;Noord-Holland;354464;10,
000424;Muiden;Noord-Holland;396552;7.4,
000425;Naarden;Noord-Holland;695678;5.1,
000431;Oostzaan;Noord-Holland;585576;13.4,
000432;Opmeer;Noord-Holland;354374;8.5,
000437;Ouder-Amstel;Noord-Holland;695766;6.5,
000439;Purmerend;Noord-Holland;955947;14.3,
000441;Schagen;Noord-Holland;455454;7.9,
000448;Texel;Noord-Holland;347474;6.7,
000450;Uitgeest;Noord-Holland;573476;8.5,
000451;Uithoorn;Noord-Holland;775765;9.8,
000453;Velsen;Noord-Holland;865647;12.8,
000457;Weesp;Noord-Holland;776946;11.3,
000458;Schermer;Noord-Holland;264462;7.7,
000473;Zandvoort;Noord-Holland;779637;12.2,
000476;Zijpe;Noord-Holland;256462;9.3,
000478;Zeevang;Noord-Holland;376463;9.9,
000479;Zaanstad;Noord-Holland;854937;12,
000482;Alblasserdam;Zuid-Holland;743656;9.7,
000484;Alphen aan den Rijn;Zuid-Holland;973758;9.3,
000489;Barendrecht;Zuid-Holland;782976;12.6,
000491;Bergambacht;Zuid-Holland;364473;7.9,
000498;Drechterland;Noord-Holland;354473;8.7,
000499;Boskoop;Zuid-Holland;564665;8.7,
000501;Brielle;Zuid-Holland;586564;14,
000502;Capelle aan den IJssel;Zuid-Holland;965927;13.4,
000503;Delft;Zuid-Holland;943919;9.3,
000504;Dirksland;Zuid-Holland;353375;11.3,
000505;Dordrecht;Zuid-Holland;954918;12.6,
000511;Goedereede;Zuid-Holland;365374;9,
000512;Gorinchem;Zuid-Holland;854947;10,
000513;Gouda;Zuid-Holland;964939;10.5,
000518;'s-Gravenhage;Zuid-Holland;953919;12.2,
000523;Hardinxveld-Giessendam;Zuid-Holland;543375;7.7,
000530;Hellevoetsluis;Zuid-Holland;775646;17.6,
000531;Hendrik-Ido-Ambacht;Zuid-Holland;862677;10.9,
000532;Stede Broec;Noord-Holland;544465;11.5,
000534;Hillegom;Zuid-Holland;765666;11.1,
000537;Katwijk;Zuid-Holland;852567;10.4,
000542;Krimpen aan den IJssel;Zuid-Holland;865556;10.7,
000545;Leerdam;Zuid-Holland;644945;11.3,
000546;Leiden;Zuid-Holland;963929;9,
000547;Leiderdorp;Zuid-Holland;985758;8.4,
000553;Lisse;Zuid-Holland;765566;9.3,
000556;Maassluis;Zuid-Holland;856926;13.2,
000559;Middelharnis;Zuid-Holland;555375;10.3,
000568;Bernisse;Zuid-Holland;377474;14.2,
000569;Nieuwkoop;Zuid-Holland;365474;10.6,
000571;Nieuw-Lekkerland;Zuid-Holland;431375;8.1,
000575;Noordwijk;Zuid-Holland;786567;9.9,
000576;Noordwijkerhout;Zuid-Holland;565565;10.4,
000579;Oegstgeest;Zuid-Holland;895668;4.9,
000580;Oostflakkee;Zuid-Holland;355372;13.8,
000584;Oud-Beijerland;Zuid-Holland;674465;10.5,
000585;Binnenmaas;Zuid-Holland;476474;11.4,
000588;Korendijk;Zuid-Holland;365382;10.5,
000589;Oudewater;Utrecht;474474;8.4,
000590;Papendrecht;Zuid-Holland;865666;11.1,
000597;Ridderkerk;Zuid-Holland;857657;13.5,
000599;Rotterdam;Zuid-Holland;933919;13.3,
000603;Rijswijk;Zuid-Holland;978939;14.7,
000606;Schiedam;Zuid-Holland;944919;16.9,
000608;Schoonhoven;Zuid-Holland;664745;8.6,
000610;Sliedrecht;Zuid-Holland;744656;9.1,
000611;Cromstrijen;Zuid-Holland;476383;11,
000612;Spijkenisse;Zuid-Holland;955928;20.8,
000613;Albrandswaard;Zuid-Holland;594765;13.6,
000614;Westvoorne;Zuid-Holland;498473;12.1,
000617;Strijen;Zuid-Holland;466473;12.5,
000620;Vianen;Utrecht;564654;11.9,
000622;Vlaardingen;Zuid-Holland;956928;15,
000623;Vlist;Zuid-Holland;364374;8.7,
000626;Voorschoten;Zuid-Holland;895767;7.7,
000627;Waddinxveen;Zuid-Holland;664667;9.5,
000629;Wassenaar;Zuid-Holland;797865;8.5,
000632;Woerden;Utrecht;673666;7.7,
000637;Zoetermeer;Zuid-Holland;973928;13.2,
000638;Zoeterwoude;Zuid-Holland;475475;9.1,
000642;Zwijndrecht;Zuid-Holland;956847;13.3,
000643;Nederlek;Zuid-Holland;565465;10.8,
000644;Ouderkerk;Zuid-Holland;454474;9.1,
000653;Gaasterlân-Sleat;Friesland;326362;6.3,
000654;Borsele;Zeeland;344474;9.3,
000664;Goes;Zeeland;656646;7.9,
000668;West Maas en Waal;Gelderland;355364;11.3,
000677;Hulst;Zeeland;348562;13.6,
000678;Kapelle;Zeeland;453385;7.4,
000687;Middelburg;Zeeland;845637;7.3,
000689;Giessenlanden;Zuid-Holland;374373;7.4,
000693;Graafstroom;Zuid-Holland;251382;5.4,
000694;Liesveld;Zuid-Holland;352384;6.9,
000703;Reimerswaal;Zeeland;331574;9.5,
000707;Zederik;Zuid-Holland;343373;6.7,
000715;Terneuzen;Zeeland;447645;13.5,
000716;Tholen;Zeeland;333463;11,
000717;Veere;Zeeland;356474;5.6,
000718;Vlissingen;Zeeland;846817;12.1,
000733;Lingewaal;Gelderland;364474;11.1,
000736;De Ronde Venen;Utrecht;585574;8.2,
000737;Tytsjerksteradiel;Friesland;335343;6.5,
000738;Aalburg;Noord-Brabant;342373;11,
000743;Asten;Noord-Brabant;545464;10,
000744;Baarle-Nassau;Noord-Brabant;348571;11.9,
000748;Bergen op Zoom;Noord-Brabant;756937;14.1,
000753;Best;Noord-Brabant;674555;9.3,
000755;Boekel;Noord-Brabant;343373;9.7,
000756;Boxmeer;Noord-Brabant;455465;7,
000757;Boxtel;Noord-Brabant;654655;9,
000758;Breda;Noord-Brabant;963838;9.1,
000762;Deurne;Noord-Brabant;545454;10.7,
000765;Pekela;Groningen;416414;13.8,
000766;Dongen;Noord-Brabant;655565;10.5,
000770;Eersel;Noord-Brabant;466474;8.4,
000772;Eindhoven;Noord-Brabant;954929;9.8,
000777;Etten-Leur;Noord-Brabant;754656;12.4,
000779;Geertruidenberg;Noord-Brabant;555455;14,
000784;Gilze en Rijen;Noord-Brabant;555654;11.7,
000785;Goirle;Noord-Brabant;676466;9.1,
000786;Grave;Noord-Brabant;455565;10.1,
000788;Haaren;Noord-Brabant;365374;7.8,
000794;Helmond;Noord-Brabant;743817;15.3,
000796;'s-Hertogenbosch;Noord-Brabant;964728;11.4,
000797;Heusden;Noord-Brabant;555555;12,
000798;Hilvarenbeek;Noord-Brabant;465374;6.5,
000809;Loon op Zand;Noord-Brabant;556465;12.4,
000815;Mill en Sint Hubert;Noord-Brabant;335363;10.2,
000820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;587445;7.3
000823;Oirschot;Noord-Brabant;465373;9.9,
000824;Oisterwijk;Noord-Brabant;576466;7.4,
000826;Oosterhout;Noord-Brabant;766747;13.1,
000828;Oss;Noord-Brabant;655747;11.6,
000840;Rucphen;Noord-Brabant;448454;27.4,
000844;Schijndel;Noord-Brabant;555465;11.4,
000845;Sint-Michielsgestel;Noord-Brabant;465374;9.3,
000846;Sint-Oedenrode;Noord-Brabant;455374;8.6,
000847;Someren;Noord-Brabant;435454;12.1,
000848;Son en Breugel;Noord-Brabant;485465;7.9,
000851;Steenbergen;Noord-Brabant;456464;16.9,
000852;Waterland;Noord-Holland;486474;9.2,
000855;Tilburg;Noord-Brabant;943918;10.4,
000856;Uden;Noord-Brabant;655646;9.8,
000858;Valkenswaard;Noord-Brabant;657556;12,
000860;Veghel;Noord-Brabant;554765;9.8,
000861;Veldhoven;Noord-Brabant;766567;11.1,
000865;Vught;Noord-Brabant;685566;7.6,
000866;Waalre;Noord-Brabant;496565;7.8,
000867;Waalwijk;Noord-Brabant;655656;12.6,
000870;Werkendam;Noord-Brabant;454374;10.5,
000873;Woensdrecht;Noord-Brabant;457565;16.2,
000874;Woudrichem;Noord-Brabant;354374;8.9,
000879;Zundert;Noord-Brabant;346573;12.4,
000880;Wormerland;Noord-Holland;665555;8.8,
000881;Onderbanken;Limburg;337534;22.7,
000882;Landgraaf;Limburg;638516;23,
000888;Beek;Limburg;558545;17.8,
000889;Beesel;Limburg;436545;20.2,
000893;Bergen (L.);Limburg;336453;15.5,
000899;Brunssum;Limburg;728617;24.1,
000907;Gennep;Limburg;446555;9.8,
000917;Heerlen;Limburg;827717;19.4,
000928;Kerkrade;Limburg;729716;25.5,
000935;Maastricht;Limburg;936819;14.8,
000938;Meerssen;Limburg;468455;14.4,
000944;Mook en Middelaar;Limburg;387464;7,
000946;Nederweert;Limburg;446474;14.6,
000951;Nuth;Limburg;358444;17.1,
000957;Roermond;Limburg;746917;18.2,
000962;Schinnen;Limburg;358445;15.9,
000965;Simpelveld;Limburg;448455;20.9,
000971;Stein;Limburg;548455;21.6,
000981;Vaals;Limburg;529814;18.3,
000983;Venlo;Limburg;736827;20.5,
000984;Venray;Limburg;545645;11.1,
000986;Voerendaal;Limburg;368454;15.3,
000988;Weert;Limburg;647736;15.4,
000994;Valkenburg aan de Geul;Limburg;459436;15.7,
000995;Lelystad;Flevoland;652917;14.7,
001507;Horst aan de Maas;Limburg;445464;11.9,
001509;Oude IJsselstreek;Gelderland;436554;9.1,
001586;Oost Gelre;Gelderland;435464;6.6,
001598;Koggenland;Noord-Holland;353373;9,
001621;Lansingerland;Zuid-Holland;681676;9.6,
001525;Teylingen;Zuid-Holland;684576;7.6,
001581;Utrechtse Heuvelrug;Utrecht;497565;6.3,
001659;Laarbeek;Noord-Brabant;445365;11.6,
001663;De Marne;Groningen;227332;7.3,
001667;Reusel-De Mierden;Noord-Brabant;454471;8.9,
001669;Roerdalen;Limburg;348454;22.4,
001671;Maasdonk;Noord-Brabant;344374;12.1,
001672;Rijnwoude;Zuid-Holland;464475;8.6,
001674;Roosendaal;Noord-Brabant;756837;14.3,
001640;Leudal;Limburg;356463;15.8,
001641;Maasgouw;Limburg;358454;18.2,
001651;Eemsmond;Groningen;326312;6.2,
001652;Gemert-Bakel;Noord-Brabant;444454;11.4,
001655;Halderberge;Noord-Brabant;456654;14.9,
001658;Heeze-Leende;Noord-Brabant;487465;7.6,
001676;Schouwen-Duiveland;Zeeland;358464;8.9,
001680;Aa en Hunze;Drenthe;357353;6,
001681;Borger-Odoorn;Drenthe;337343;8.7,
001684;Cuijk;Noord-Brabant;445745;8.9,
001685;Landerd;Noord-Brabant;344373;9.4,
001690;De Wolden;Drenthe;346373;7,
001695;Noord-Beveland;Zeeland;258463;10.3,
001696;Wijdemeren;Noord-Holland;497574;7.8,
001699;Noordenveld;Drenthe;457343;7,
001700;Twenterand;Overijssel;423354;10.5,
001701;Westerveld;Drenthe;258351;6.5,
001702;Sint Anthonis;Noord-Brabant;345383;6.4,
001705;Lingewaard;Gelderland;554465;9.6,
001706;Cranendonck;Noord-Brabant;456564;13.2,
001708;Steenwijkerland;Overijssel;435443;8.1,
001709;Moerdijk;Noord-Brabant;465463;12.6,
001711;Echt-Susteren;Limburg;448544;22,
001714;Sluis;Zeeland;349564;11.4,
001719;Drimmelen;Noord-Brabant;466374;12,
001721;Bernheze;Noord-Brabant;454365;8.5,
001722;Ferwerderadiel;Friesland;224343;7.6,
001723;Alphen-Chaam;Noord-Brabant;366473;8.3,
001724;Bergeijk;Noord-Brabant;355463;11,
001728;Bladel;Noord-Brabant;455474;10.3,
001729;Gulpen-Wittem;Limburg;349464;15.5,
001730;Tynaarlo;Drenthe;366364;5.5,
001731;Midden-Drenthe;Drenthe;346353;7,
001734;Overbetuwe;Gelderland;453464;8.8,
001735;Hof van Twente;Overijssel;446464;7.3,
001740;Neder-Betuwe;Gelderland;331364;9.9,
001742;Rijssen-Holten;Overijssel;532465;6.4,
001771;Geldrop-Mierlo;Noord-Brabant;665546;11.7,
001773;Olst-Wijhe;Overijssel;345463;6.3,
001774;Dinkelland;Overijssel;334373;8,
001783;Westland;Zuid-Holland;654565;11.7,
001842;Midden-Delfland;Zuid-Holland;673477;7.2,
001859;Berkelland;Gelderland;436363;7.2,
001876;Bronckhorst;Gelderland;347373;6.9,
001883;Sittard-Geleen;Limburg;647616;19.5,
001884;Kaag en Braassem;Zuid-Holland;464474;10.5,
001891;Dantumadiel;Friesland;315324;8.7,
001892;Zuidplas;Zuid-Holland;673665;9.6,
001894;Peel en Maas;Limburg;445463;17,
001895;Oldambt;Groningen;527415;10.4,
001896;Zwartewaterland;Overijssel;431364;6.4,
001900;Súdwest-Fryslân;Friesland;535424;7.1,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;8.2,
001903;Eijsden-Margraten;Limburg;367474;12.9,
001904;Stichtse Vecht;Utrecht;675665;10.1,
001908;Menameradiel;Friesland;335363;6.1,
001911;Hollands Kroon;Noord-Holland;344461;11,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;9.8,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;10.9,
001955;Montferland;Gelderland;436445;12.5,
001987;Menterwolde;Groningen;335324;10.5,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
